Age,Flight Distance,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Satisfaction
50.0,937.0,6.0,5.0,3.0,4.0,3.0,2.0,1.0,1.0,Neutral or Dissatisfied
17.0,328.0,0.0,5.0,4.0,5.0,4.0,4.0,1.0,5.0,Neutral or Dissatisfied
45.0,2434.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,Satisfied
41.0,192.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,Neutral or Dissatisfied
67.0,481.0,0.0,3.0,2.0,3.0,4.0,4.0,1.0,4.0,Neutral or Dissatisfied
41.0,1310.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,Satisfied
17.0,808.0,0.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,Satisfied
55.0,349.0,0.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,Satisfied
9.0,432.0,5.0,1.0,3.0,4.0,3.0,4.0,2.0,1.0,Neutral or Dissatisfied
23.0,954.0,3.0,4.0,5.0,2.0,5.0,1.0,1.0,2.0,Neutral or Dissatisfied
58.0,1917.0,0.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,Satisfied
38.0,366.0,0.0,1.0,1.0,2.0,5.0,1.0,3.0,5.0,Satisfied
31.0,528.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,Neutral or Dissatisfied
41.0,3188.0,2.0,5.0,5.0,2.0,1.0,5.0,4.0,2.0,Satisfied
47.0,3441.0,0.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,Satisfied
29.0,2145.0,0.0,5.0,5.0,4.0,2.0,5.0,1.0,2.0,Neutral or Dissatisfied
47.0,73.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,Neutral or Dissatisfied
36.0,2935.0,0.0,5.0,5.0,2.0,1.0,5.0,5.0,4.0,Satisfied
44.0,523.0,0.0,4.0,1.0,4.0,5.0,3.0,4.0,5.0,Neutral or Dissatisfied
60.0,1624.0,0.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,Neutral or Dissatisfied
41.0,2669.0,0.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,Satisfied
25.0,603.0,0.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,Neutral or Dissatisfied
49.0,3895.0,0.0,1.0,1.0,4.0,5.0,1.0,2.0,4.0,Satisfied
25.0,1521.0,6.0,4.0,0.0,3.0,0.0,3.0,3.0,2.0,Satisfied
36.0,345.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,Neutral or Dissatisfied
56.0,177.0,0.0,5.0,5.0,1.0,3.0,5.0,3.0,4.0,Neutral or Dissatisfied
36.0,1597.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,Satisfied
46.0,2395.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,Satisfied
50.0,631.0,2.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,Satisfied
32.0,255.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,Neutral or Dissatisfied
34.0,1644.0,0.0,4.0,0.0,5.0,4.0,3.0,5.0,2.0,Satisfied
36.0,293.0,0.0,5.0,5.0,1.0,3.0,5.0,2.0,3.0,Neutral or Dissatisfied
20.0,123.0,0.0,0.0,1.0,3.0,1.0,4.0,3.0,3.0,Neutral or Dissatisfied
30.0,451.0,0.0,4.0,2.0,3.0,2.0,1.0,4.0,5.0,Neutral or Dissatisfied
24.0,226.0,0.0,4.0,0.0,4.0,0.0,2.0,4.0,1.0,Neutral or Dissatisfied
45.0,200.0,0.0,3.0,4.0,4.0,3.0,2.0,2.0,5.0,Neutral or Dissatisfied
28.0,1281.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,Neutral or Dissatisfied
49.0,850.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,Neutral or Dissatisfied
41.0,3237.0,0.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,Satisfied
64.0,743.0,0.0,1.0,2.0,5.0,3.0,1.0,5.0,4.0,Satisfied
54.0,1545.0,0.0,2.0,2.0,4.0,5.0,2.0,5.0,5.0,Satisfied
43.0,134.0,0.0,2.0,3.0,4.0,2.0,2.0,5.0,4.0,Satisfied
29.0,1927.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Satisfied
52.0,116.0,0.0,4.0,4.0,1.0,5.0,4.0,2.0,5.0,Satisfied
20.0,2938.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,Satisfied
27.0,3461.0,0.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,Satisfied
59.0,296.0,0.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,Neutral or Dissatisfied
37.0,101.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,Neutral or Dissatisfied
39.0,1521.0,8.0,4.0,3.0,4.0,3.0,3.0,1.0,5.0,Neutral or Dissatisfied
40.0,1023.0,0.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,Neutral or Dissatisfied
44.0,738.0,0.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,Satisfied
30.0,89.0,0.0,4.0,3.0,1.0,3.0,3.0,1.0,2.0,Neutral or Dissatisfied
47.0,102.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,Neutral or Dissatisfied
62.0,266.0,0.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,Satisfied
48.0,854.0,4.0,1.0,1.0,5.0,5.0,3.0,2.0,5.0,Neutral or Dissatisfied
52.0,427.0,0.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,Neutral or Dissatisfied
36.0,456.0,0.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,Satisfied
38.0,669.0,0.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,Neutral or Dissatisfied
16.0,1737.0,3.0,5.0,2.0,5.0,2.0,3.0,4.0,1.0,Neutral or Dissatisfied
21.0,986.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,Neutral or Dissatisfied
24.0,874.0,0.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,Neutral or Dissatisfied
57.0,1547.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,Satisfied
41.0,888.0,0.0,1.0,1.0,5.0,4.0,1.0,5.0,5.0,Satisfied
63.0,305.0,0.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,Neutral or Dissatisfied
42.0,2030.0,0.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,Satisfied
52.0,603.0,0.0,2.0,2.0,4.0,4.0,2.0,5.0,4.0,Satisfied
45.0,1612.0,0.0,1.0,4.0,4.0,4.0,1.0,5.0,5.0,Satisfied
26.0,761.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,Satisfied
22.0,542.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,Neutral or Dissatisfied
47.0,319.0,2.0,1.0,4.0,1.0,4.0,3.0,3.0,4.0,Satisfied
32.0,101.0,1.0,5.0,5.0,2.0,3.0,5.0,3.0,3.0,Neutral or Dissatisfied
33.0,370.0,0.0,5.0,5.0,1.0,5.0,4.0,2.0,1.0,Satisfied
63.0,3075.0,0.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,Satisfied
23.0,3205.0,0.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,Satisfied
52.0,1564.0,0.0,1.0,1.0,3.0,5.0,1.0,3.0,5.0,Satisfied
80.0,337.0,4.0,1.0,4.0,5.0,5.0,1.0,5.0,4.0,Satisfied
35.0,672.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,Neutral or Dissatisfied
31.0,1562.0,0.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0,Neutral or Dissatisfied
61.0,253.0,0.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,Satisfied
44.0,1050.0,0.0,5.0,5.0,3.0,4.0,5.0,4.0,1.0,Satisfied
40.0,502.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,Satisfied
28.0,677.0,0.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,Satisfied
26.0,386.0,10.0,0.0,1.0,4.0,1.0,4.0,3.0,3.0,Neutral or Dissatisfied
50.0,993.0,0.0,1.0,1.0,4.0,3.0,1.0,2.0,3.0,Neutral or Dissatisfied
41.0,1183.0,0.0,2.0,2.0,3.0,4.0,4.0,3.0,1.0,Neutral or Dissatisfied
57.0,238.0,0.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,Neutral or Dissatisfied
63.0,3893.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,Neutral or Dissatisfied
32.0,651.0,0.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,Neutral or Dissatisfied
49.0,2576.0,0.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,Satisfied
65.0,3556.0,0.0,5.0,0.0,1.0,4.0,1.0,3.0,1.0,Satisfied
24.0,147.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,Neutral or Dissatisfied
59.0,3591.0,0.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,Satisfied
52.0,759.0,0.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,Satisfied
17.0,2677.0,8.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,Satisfied
22.0,1096.0,0.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,Satisfied
73.0,448.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Satisfied
40.0,1027.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,Satisfied
34.0,2928.0,0.0,3.0,2.0,5.0,4.0,3.0,5.0,4.0,Satisfied
27.0,337.0,0.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,Neutral or Dissatisfied
42.0,3586.0,0.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,Satisfied
34.0,859.0,0.0,2.0,5.0,3.0,5.0,2.0,3.0,5.0,Satisfied
38.0,254.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,Neutral or Dissatisfied
24.0,1024.0,6.0,4.0,4.0,1.0,4.0,3.0,2.0,5.0,Neutral or Dissatisfied
27.0,290.0,0.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,Neutral or Dissatisfied
43.0,3980.0,0.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,Neutral or Dissatisfied
59.0,1788.0,0.0,1.0,1.0,5.0,3.0,1.0,5.0,5.0,Satisfied
61.0,2106.0,0.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,Neutral or Dissatisfied
44.0,290.0,0.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,Satisfied
39.0,1946.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,Neutral or Dissatisfied
20.0,296.0,0.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,Satisfied
49.0,859.0,0.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,Satisfied
59.0,1389.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0,Neutral or Dissatisfied
68.0,528.0,0.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,Neutral or Dissatisfied
39.0,3021.0,0.0,5.0,5.0,3.0,2.0,5.0,3.0,3.0,Neutral or Dissatisfied
19.0,196.0,0.0,3.0,4.0,1.0,5.0,3.0,3.0,5.0,Satisfied
23.0,950.0,0.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,Neutral or Dissatisfied
64.0,1709.0,0.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,Neutral or Dissatisfied
60.0,2342.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,5.0,Neutral or Dissatisfied
46.0,3338.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Satisfied
19.0,728.0,0.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,Neutral or Dissatisfied
68.0,672.0,0.0,1.0,3.0,1.0,3.0,4.0,5.0,4.0,Neutral or Dissatisfied
40.0,220.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,Satisfied
66.0,907.0,0.0,4.0,0.0,5.0,5.0,3.0,5.0,4.0,Satisfied
30.0,402.0,0.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,Neutral or Dissatisfied
53.0,192.0,0.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0,Satisfied
46.0,214.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Satisfied
28.0,395.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,Satisfied
54.0,3928.0,0.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,Satisfied
47.0,3352.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,Satisfied
65.0,677.0,0.0,5.0,1.0,3.0,5.0,4.0,1.0,2.0,Neutral or Dissatisfied
35.0,1139.0,4.0,4.0,2.0,3.0,2.0,1.0,5.0,5.0,Neutral or Dissatisfied
25.0,3501.0,0.0,3.0,3.0,1.0,5.0,3.0,3.0,5.0,Satisfied
28.0,192.0,0.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,Satisfied
32.0,220.0,0.0,2.0,0.0,4.0,0.0,3.0,3.0,5.0,Satisfied
23.0,1452.0,0.0,4.0,0.0,5.0,0.0,1.0,2.0,5.0,Satisfied
27.0,432.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,Neutral or Dissatisfied
49.0,1522.0,0.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,Neutral or Dissatisfied
22.0,1389.0,0.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,Neutral or Dissatisfied
24.0,594.0,0.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0,Neutral or Dissatisfied
46.0,594.0,0.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,Neutral or Dissatisfied
37.0,333.0,0.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,Neutral or Dissatisfied
23.0,616.0,0.0,5.0,0.0,3.0,0.0,2.0,4.0,3.0,Satisfied
9.0,495.0,0.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,Neutral or Dissatisfied
40.0,3590.0,0.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,Satisfied
57.0,408.0,0.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,Satisfied
40.0,1721.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,Satisfied
22.0,1955.0,0.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,Neutral or Dissatisfied
70.0,289.0,0.0,4.0,2.0,5.0,2.0,1.0,5.0,1.0,Neutral or Dissatisfied
20.0,888.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,Satisfied
57.0,3912.0,0.0,1.0,5.0,3.0,5.0,1.0,5.0,4.0,Satisfied
42.0,821.0,7.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,Neutral or Dissatisfied
42.0,1869.0,0.0,1.0,1.0,5.0,4.0,1.0,3.0,5.0,Satisfied
35.0,1042.0,0.0,4.0,4.0,2.0,5.0,4.0,1.0,5.0,Satisfied
59.0,3380.0,10.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,Neutral or Dissatisfied
25.0,651.0,0.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,Neutral or Dissatisfied
45.0,370.0,0.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,Satisfied
55.0,1788.0,0.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,Satisfied
49.0,190.0,0.0,1.0,0.0,3.0,0.0,4.0,2.0,4.0,Neutral or Dissatisfied
49.0,265.0,0.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,Satisfied
38.0,861.0,0.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,Satisfied
48.0,174.0,0.0,2.0,0.0,4.0,3.0,2.0,4.0,3.0,Neutral or Dissatisfied
27.0,3720.0,0.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,Satisfied
26.0,403.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,Satisfied
13.0,2434.0,0.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,Neutral or Dissatisfied
38.0,248.0,0.0,5.0,2.0,5.0,2.0,5.0,3.0,5.0,Neutral or Dissatisfied
65.0,273.0,0.0,5.0,2.0,3.0,1.0,3.0,4.0,5.0,Neutral or Dissatisfied
44.0,864.0,0.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,Satisfied
46.0,2915.0,0.0,5.0,0.0,4.0,4.0,5.0,1.0,5.0,Satisfied
20.0,689.0,0.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,Satisfied
37.0,448.0,6.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,Satisfied
24.0,3944.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,Neutral or Dissatisfied
26.0,1666.0,0.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,Satisfied
28.0,432.0,0.0,5.0,3.0,1.0,3.0,3.0,5.0,2.0,Neutral or Dissatisfied
52.0,2611.0,0.0,4.0,2.0,5.0,5.0,4.0,2.0,5.0,Neutral or Dissatisfied
40.0,3659.0,0.0,2.0,2.0,3.0,5.0,2.0,5.0,4.0,Satisfied
55.0,646.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,Neutral or Dissatisfied
48.0,2007.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,Satisfied
28.0,1021.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,Neutral or Dissatisfied
10.0,2602.0,0.0,4.0,1.0,3.0,1.0,2.0,5.0,5.0,Neutral or Dissatisfied
41.0,1739.0,0.0,5.0,5.0,3.0,2.0,5.0,3.0,2.0,Neutral or Dissatisfied
22.0,1781.0,0.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,Satisfied
